week,graphical_appearance_name,sales_count
2018-09-17,All over pattern,13505
2018-09-17,Application/3D,504
2018-09-17,Argyle,8
2018-09-17,Chambray,155
2018-09-17,Check,4326
2018-09-17,Colour blocking,2550
2018-09-17,Contrast,986
2018-09-17,Denim,13037
2018-09-17,Dot,652
2018-09-17,Embroidery,899
2018-09-17,Front print,3037
2018-09-17,Glittering/Metallic,437
2018-09-17,Jacquard,578
2018-09-17,Lace,3751
2018-09-17,Melange,17994
2018-09-17,Mesh,3
2018-09-17,Metallic,178
2018-09-17,Mixed solid/pattern,337
2018-09-17,Neps,217
2018-09-17,Other pattern,350
2018-09-17,Other structure,1879
2018-09-17,Placement print,3646
2018-09-17,Sequin,192
2018-09-17,Slub,30
2018-09-17,Solid,85907
2018-09-17,Stripe,8714
2018-09-17,Transparent,72
2018-09-17,Treatment,1807
2018-09-17,Unknown,56
2018-09-24,All over pattern,33835
2018-09-24,Application/3D,1786
2018-09-24,Argyle,37
2018-09-24,Chambray,485
2018-09-24,Check,13323
2018-09-24,Colour blocking,7478
2018-09-24,Contrast,2421
2018-09-24,Denim,25517
2018-09-24,Dot,1958
2018-09-24,Embroidery,2154
2018-09-24,Front print,8413
2018-09-24,Glittering/Metallic,1537
2018-09-24,Jacquard,1843
2018-09-24,Lace,8267
2018-09-24,Melange,48300
2018-09-24,Mesh,45
2018-09-24,Metallic,634
2018-09-24,Mixed solid/pattern,892
2018-09-24,Neps,543
2018-09-24,Other pattern,1149
2018-09-24,Other structure,5945
2018-09-24,Placement print,10489
2018-09-24,Sequin,952
2018-09-24,Slub,148
2018-09-24,Solid,226026
2018-09-24,Stripe,20309
2018-09-24,Transparent,276
2018-09-24,Treatment,4066
2018-09-24,Unknown,141
2018-10-01,All over pattern,21579
2018-10-01,Application/3D,1186
2018-10-01,Argyle,15
2018-10-01,Chambray,268
2018-10-01,Check,7897
2018-10-01,Colour blocking,4393
2018-10-01,Contrast,1431
2018-10-01,Denim,15663
2018-10-01,Dot,1040
2018-10-01,Embroidery,1527
2018-10-01,Front print,5432
2018-10-01,Glittering/Metallic,1002
2018-10-01,Jacquard,1150
2018-10-01,Lace,4892
2018-10-01,Melange,28287
2018-10-01,Mesh,114
2018-10-01,Metallic,434
2018-10-01,Mixed solid/pattern,521
2018-10-01,Neps,354
2018-10-01,Other pattern,583
2018-10-01,Other structure,3483
2018-10-01,Placement print,6208
2018-10-01,Sequin,544
2018-10-01,Slub,73
2018-10-01,Solid,135448
2018-10-01,Stripe,11902
2018-10-01,Transparent,135
2018-10-01,Treatment,2597
2018-10-01,Unknown,85
2018-10-08,All over pattern,27423
2018-10-08,Application/3D,1601
2018-10-08,Argyle,38
2018-10-08,Chambray,340
2018-10-08,Check,10434
2018-10-08,Colour blocking,5039
2018-10-08,Contrast,1916
2018-10-08,Denim,19269
2018-10-08,Dot,1306
2018-10-08,Embroidery,1829
2018-10-08,Front print,5341
2018-10-08,Glittering/Metallic,1789
2018-10-08,Jacquard,1541
2018-10-08,Lace,7010
2018-10-08,Melange,33002
2018-10-08,Mesh,312
2018-10-08,Metallic,638
2018-10-08,Mixed solid/pattern,640
2018-10-08,Neps,469
2018-10-08,Other pattern,619
2018-10-08,Other structure,4092
2018-10-08,Placement print,6333
2018-10-08,Sequin,610
2018-10-08,Slub,91
2018-10-08,Solid,181475
2018-10-08,Stripe,15595
2018-10-08,Transparent,164
2018-10-08,Treatment,3313
2018-10-08,Unknown,109
2018-10-15,All over pattern,27773
2018-10-15,Application/3D,2231
2018-10-15,Argyle,14
2018-10-15,Chambray,282
2018-10-15,Check,7867
2018-10-15,Colour blocking,3987
2018-10-15,Contrast,1656
2018-10-15,Denim,19509
2018-10-15,Dot,1336
2018-10-15,Embroidery,2581
2018-10-15,Front print,5791
2018-10-15,Glittering/Metallic,2111
2018-10-15,Jacquard,2290
2018-10-15,Lace,7770
2018-10-15,Melange,26844
2018-10-15,Mesh,331
2018-10-15,Metallic,549
2018-10-15,Mixed solid/pattern,582
2018-10-15,Neps,334
2018-10-15,Other pattern,481
2018-10-15,Other structure,3176
2018-10-15,Placement print,5236
2018-10-15,Sequin,506
2018-10-15,Slub,68
2018-10-15,Solid,163067
2018-10-15,Stripe,14138
2018-10-15,Transparent,212
2018-10-15,Treatment,4052
2018-10-15,Unknown,135
2018-10-22,All over pattern,31874
2018-10-22,Application/3D,3005
2018-10-22,Argyle,26
2018-10-22,Chambray,395
2018-10-22,Check,9816
2018-10-22,Colour blocking,5835
2018-10-22,Contrast,2417
2018-10-22,Denim,23258
2018-10-22,Dot,1737
2018-10-22,Embroidery,2843
2018-10-22,Front print,7429
2018-10-22,Glittering/Metallic,3514
2018-10-22,Jacquard,3651
2018-10-22,Lace,8869
2018-10-22,Melange,35670
2018-10-22,Mesh,236
2018-10-22,Metallic,661
2018-10-22,Mixed solid/pattern,836
2018-10-22,Neps,480
2018-10-22,Other pattern,765
2018-10-22,Other structure,5101
2018-10-22,Placement print,6920
2018-10-22,Sequin,734
2018-10-22,Slub,100
2018-10-22,Solid,198358
2018-10-22,Stripe,15390
2018-10-22,Transparent,203
2018-10-22,Treatment,4302
2018-10-22,Unknown,157
2018-10-29,All over pattern,23556
2018-10-29,Application/3D,2714
2018-10-29,Argyle,31
2018-10-29,Chambray,204
2018-10-29,Check,6948
2018-10-29,Colour blocking,4201
2018-10-29,Contrast,2131
2018-10-29,Denim,14776
2018-10-29,Dot,1416
2018-10-29,Embroidery,1871
2018-10-29,Front print,4597
2018-10-29,Glittering/Metallic,3513
2018-10-29,Jacquard,2582
2018-10-29,Lace,6498
2018-10-29,Melange,27593
2018-10-29,Mesh,146
2018-10-29,Metallic,567
2018-10-29,Mixed solid/pattern,585
2018-10-29,Neps,313
2018-10-29,Other pattern,654
2018-10-29,Other structure,2999
2018-10-29,Placement print,4736
2018-10-29,Sequin,641
2018-10-29,Slub,95
2018-10-29,Solid,150005
2018-10-29,Stripe,9840
2018-10-29,Transparent,137
2018-10-29,Treatment,3319
2018-10-29,Unknown,130
2018-11-05,All over pattern,21676
2018-11-05,Application/3D,2854
2018-11-05,Argyle,25
2018-11-05,Chambray,175
2018-11-05,Check,6896
2018-11-05,Colour blocking,3248
2018-11-05,Contrast,1622
2018-11-05,Denim,11614
2018-11-05,Dot,1070
2018-11-05,Embroidery,1360
2018-11-05,Front print,3222
2018-11-05,Glittering/Metallic,4387
2018-11-05,Jacquard,2335
2018-11-05,Lace,7391
2018-11-05,Melange,22879
2018-11-05,Mesh,126
2018-11-05,Metallic,761
2018-11-05,Mixed solid/pattern,477
2018-11-05,Neps,223
2018-11-05,Other pattern,491
2018-11-05,Other structure,2489
2018-11-05,Placement print,3835
2018-11-05,Sequin,795
2018-11-05,Slub,71
2018-11-05,Solid,134452
2018-11-05,Stripe,8871
2018-11-05,Transparent,144
2018-11-05,Treatment,2573
2018-11-05,Unknown,139
2018-11-12,All over pattern,20536
2018-11-12,Application/3D,2919
2018-11-12,Argyle,13
2018-11-12,Chambray,233
2018-11-12,Check,6115
2018-11-12,Colour blocking,2910
2018-11-12,Contrast,1603
2018-11-12,Denim,12140
2018-11-12,Dot,995
2018-11-12,Embroidery,1143
2018-11-12,Front print,3148
2018-11-12,Glittering/Metallic,4298
2018-11-12,Jacquard,2191
2018-11-12,Lace,6799
2018-11-12,Melange,23324
2018-11-12,Mesh,116
2018-11-12,Metallic,627
2018-11-12,Mixed solid/pattern,465
2018-11-12,Neps,241
2018-11-12,Other pattern,559
2018-11-12,Other structure,2368
2018-11-12,Placement print,3839
2018-11-12,Sequin,972
2018-11-12,Slub,42
2018-11-12,Solid,133282
2018-11-12,Stripe,7886
2018-11-12,Transparent,104
2018-11-12,Treatment,2341
2018-11-12,Unknown,84
2018-11-19,All over pattern,35192
2018-11-19,Application/3D,5448
2018-11-19,Argyle,34
2018-11-19,Chambray,328
2018-11-19,Check,9290
2018-11-19,Colour blocking,6773
2018-11-19,Contrast,4365
2018-11-19,Denim,23473
2018-11-19,Dot,2082
2018-11-19,Embroidery,2744
2018-11-19,Front print,6613
2018-11-19,Glittering/Metallic,8293
2018-11-19,Jacquard,4011
2018-11-19,Lace,12735
2018-11-19,Melange,49937
2018-11-19,Mesh,189
2018-11-19,Metallic,1005
2018-11-19,Mixed solid/pattern,982
2018-11-19,Neps,520
2018-11-19,Other pattern,1069
2018-11-19,Other structure,5038
2018-11-19,Placement print,8716
2018-11-19,Sequin,2418
2018-11-19,Slub,112
2018-11-19,Solid,243913
2018-11-19,Stripe,15757
2018-11-19,Transparent,143
2018-11-19,Treatment,2963
2018-11-19,Unknown,176
2018-11-26,All over pattern,20530
2018-11-26,Application/3D,2641
2018-11-26,Argyle,14
2018-11-26,Chambray,182
2018-11-26,Check,6223
2018-11-26,Colour blocking,3337
2018-11-26,Contrast,2197
2018-11-26,Denim,11869
2018-11-26,Dot,1116
2018-11-26,Embroidery,1323
2018-11-26,Front print,3912
2018-11-26,Glittering/Metallic,4834
2018-11-26,Jacquard,5727
2018-11-26,Lace,7429
2018-11-26,Melange,22367
2018-11-26,Mesh,105
2018-11-26,Metallic,579
2018-11-26,Mixed solid/pattern,520
2018-11-26,Neps,341
2018-11-26,Other pattern,616
2018-11-26,Other structure,2534
2018-11-26,Placement print,4183
2018-11-26,Sequin,1591
2018-11-26,Slub,80
2018-11-26,Solid,125512
2018-11-26,Stripe,8110
2018-11-26,Transparent,96
2018-11-26,Treatment,1591
2018-11-26,Unknown,97
2018-12-03,All over pattern,20342
2018-12-03,Application/3D,2577
2018-12-03,Argyle,21
2018-12-03,Chambray,176
2018-12-03,Check,5394
2018-12-03,Colour blocking,2733
2018-12-03,Contrast,2174
2018-12-03,Denim,10087
2018-12-03,Dot,1386
2018-12-03,Embroidery,1255
2018-12-03,Front print,3489
2018-12-03,Glittering/Metallic,6555
2018-12-03,Jacquard,4249
2018-12-03,Lace,8221
2018-12-03,Melange,18609
2018-12-03,Mesh,198
2018-12-03,Metallic,711
2018-12-03,Mixed solid/pattern,590
2018-12-03,Neps,242
2018-12-03,Other pattern,527
2018-12-03,Other structure,2626
2018-12-03,Placement print,4084
2018-12-03,Sequin,2073
2018-12-03,Slub,93
2018-12-03,Solid,129362
2018-12-03,Stripe,7680
2018-12-03,Transparent,117
2018-12-03,Treatment,1631
2018-12-03,Unknown,122
2018-12-10,All over pattern,19481
2018-12-10,Application/3D,2651
2018-12-10,Argyle,13
2018-12-10,Chambray,219
2018-12-10,Check,5153
2018-12-10,Colour blocking,2595
2018-12-10,Contrast,1894
2018-12-10,Denim,10298
2018-12-10,Dot,1284
2018-12-10,Embroidery,1210
2018-12-10,Front print,3407
2018-12-10,Glittering/Metallic,6484
2018-12-10,Jacquard,4517
2018-12-10,Lace,7938
2018-12-10,Melange,18985
2018-12-10,Mesh,306
2018-12-10,Metallic,581
2018-12-10,Mixed solid/pattern,864
2018-12-10,Neps,261
2018-12-10,Other pattern,591
2018-12-10,Other structure,2376
2018-12-10,Placement print,3733
2018-12-10,Sequin,2282
2018-12-10,Slub,68
2018-12-10,Solid,128442
2018-12-10,Stripe,6705
2018-12-10,Transparent,124
2018-12-10,Treatment,1286
2018-12-10,Unknown,148
2018-12-17,All over pattern,33010
2018-12-17,Application/3D,3669
2018-12-17,Argyle,35
2018-12-17,Chambray,295
2018-12-17,Check,9068
2018-12-17,Colour blocking,3832
2018-12-17,Contrast,2961
2018-12-17,Denim,16582
2018-12-17,Dot,2620
2018-12-17,Embroidery,2099
2018-12-17,Front print,5716
2018-12-17,Glittering/Metallic,7708
2018-12-17,Jacquard,5220
2018-12-17,Lace,13042
2018-12-17,Melange,28375
2018-12-17,Mesh,333
2018-12-17,Metallic,963
2018-12-17,Mixed solid/pattern,1388
2018-12-17,Neps,409
2018-12-17,Other pattern,913
2018-12-17,Other structure,3441
2018-12-17,Placement print,5622
2018-12-17,Sequin,2490
2018-12-17,Slub,128
2018-12-17,Solid,176639
2018-12-17,Stripe,11203
2018-12-17,Transparent,199
2018-12-17,Treatment,1716
2018-12-17,Unknown,197
2018-12-24,All over pattern,24191
2018-12-24,Application/3D,2112
2018-12-24,Argyle,42
2018-12-24,Chambray,246
2018-12-24,Check,6273
2018-12-24,Colour blocking,3544
2018-12-24,Contrast,2226
2018-12-24,Denim,14362
2018-12-24,Dot,1894
2018-12-24,Embroidery,1478
2018-12-24,Front print,4406
2018-12-24,Glittering/Metallic,3555
2018-12-24,Jacquard,2242
2018-12-24,Lace,8858
2018-12-24,Melange,22778
2018-12-24,Mesh,150
2018-12-24,Metallic,466
2018-12-24,Mixed solid/pattern,1029
2018-12-24,Neps,321
2018-12-24,Other pattern,626
2018-12-24,Other structure,2367
2018-12-24,Placement print,4850
2018-12-24,Sequin,1158
2018-12-24,Slub,124
2018-12-24,Solid,132560
2018-12-24,Stripe,9628
2018-12-24,Transparent,173
2018-12-24,Treatment,1390
2018-12-24,Unknown,102
2018-12-31,All over pattern,26731
2018-12-31,Application/3D,2252
2018-12-31,Argyle,30
2018-12-31,Chambray,189
2018-12-31,Check,5841
2018-12-31,Colour blocking,4042
2018-12-31,Contrast,2263
2018-12-31,Denim,15680
2018-12-31,Dot,1854
2018-12-31,Embroidery,1479
2018-12-31,Front print,4447
2018-12-31,Glittering/Metallic,2072
2018-12-31,Jacquard,1814
2018-12-31,Lace,8055
2018-12-31,Melange,22404
2018-12-31,Mesh,89
2018-12-31,Metallic,508
2018-12-31,Mixed solid/pattern,1234
2018-12-31,Neps,337
2018-12-31,Other pattern,666
2018-12-31,Other structure,2355
2018-12-31,Placement print,5228
2018-12-31,Sequin,809
2018-12-31,Slub,114
2018-12-31,Solid,137231
2018-12-31,Stripe,10666
2018-12-31,Transparent,110
2018-12-31,Treatment,1344
2018-12-31,Unknown,166
2019-01-07,All over pattern,34149
2019-01-07,Application/3D,2247
2019-01-07,Argyle,28
2019-01-07,Chambray,179
2019-01-07,Check,5897
2019-01-07,Colour blocking,4462
2019-01-07,Contrast,2571
2019-01-07,Denim,19999
2019-01-07,Dot,2672
2019-01-07,Embroidery,1948
2019-01-07,Front print,4786
2019-01-07,Glittering/Metallic,2236
2019-01-07,Jacquard,1672
2019-01-07,Lace,9232
2019-01-07,Melange,26353
2019-01-07,Mesh,148
2019-01-07,Metallic,640
2019-01-07,Mixed solid/pattern,1698
2019-01-07,Neps,391
2019-01-07,Other pattern,569
2019-01-07,Other structure,3057
2019-01-07,Placement print,5781
2019-01-07,Sequin,745
2019-01-07,Slub,143
2019-01-07,Solid,169047
2019-01-07,Stripe,14762
2019-01-07,Transparent,122
2019-01-07,Treatment,1503
2019-01-07,Unknown,257
2019-01-14,All over pattern,28630
2019-01-14,Application/3D,1842
2019-01-14,Argyle,15
2019-01-14,Chambray,129
2019-01-14,Check,4580
2019-01-14,Colour blocking,3958
2019-01-14,Contrast,2487
2019-01-14,Denim,17681
2019-01-14,Dot,1863
2019-01-14,Embroidery,1636
2019-01-14,Front print,3633
2019-01-14,Glittering/Metallic,1578
2019-01-14,Jacquard,1532
2019-01-14,Lace,7403
2019-01-14,Melange,21175
2019-01-14,Mesh,164
2019-01-14,Metallic,527
2019-01-14,Mixed solid/pattern,1358
2019-01-14,Neps,368
2019-01-14,Other pattern,546
2019-01-14,Other structure,2464
2019-01-14,Placement print,5082
2019-01-14,Sequin,765
2019-01-14,Slub,126
2019-01-14,Solid,139718
2019-01-14,Stripe,11589
2019-01-14,Transparent,116
2019-01-14,Treatment,1281
2019-01-14,Unknown,298
2019-01-21,All over pattern,31460
2019-01-21,Application/3D,2568
2019-01-21,Argyle,20
2019-01-21,Chambray,118
2019-01-21,Check,4994
2019-01-21,Colour blocking,4589
2019-01-21,Contrast,2645
2019-01-21,Denim,20579
2019-01-21,Dot,1911
2019-01-21,Embroidery,1848
2019-01-21,Front print,4066
2019-01-21,Glittering/Metallic,1958
2019-01-21,Jacquard,1528
2019-01-21,Lace,8495
2019-01-21,Melange,24019
2019-01-21,Mesh,140
2019-01-21,Metallic,498
2019-01-21,Mixed solid/pattern,1433
2019-01-21,Neps,363
2019-01-21,Other pattern,667
2019-01-21,Other structure,2857
2019-01-21,Placement print,5319
2019-01-21,Sequin,735
2019-01-21,Slub,139
2019-01-21,Solid,152357
2019-01-21,Stripe,12007
2019-01-21,Transparent,114
2019-01-21,Treatment,1497
2019-01-21,Unknown,535
2019-01-28,All over pattern,32656
2019-01-28,Application/3D,2148
2019-01-28,Argyle,14
2019-01-28,Chambray,196
2019-01-28,Check,4637
2019-01-28,Colour blocking,4292
2019-01-28,Contrast,2709
2019-01-28,Denim,21746
2019-01-28,Dot,1767
2019-01-28,Embroidery,1945
2019-01-28,Front print,4346
2019-01-28,Glittering/Metallic,1868
2019-01-28,Jacquard,1646
2019-01-28,Lace,8349
2019-01-28,Melange,21677
2019-01-28,Mesh,139
2019-01-28,Metallic,455
2019-01-28,Mixed solid/pattern,1156
2019-01-28,Neps,321
2019-01-28,Other pattern,619
2019-01-28,Other structure,2920
2019-01-28,Placement print,5492
2019-01-28,Sequin,787
2019-01-28,Slub,182
2019-01-28,Solid,151870
2019-01-28,Stripe,12803
2019-01-28,Transparent,149
2019-01-28,Treatment,1573
2019-01-28,Unknown,349
2019-02-04,All over pattern,30033
2019-02-04,Application/3D,1660
2019-02-04,Argyle,9
2019-02-04,Chambray,170
2019-02-04,Check,4309
2019-02-04,Colour blocking,3325
2019-02-04,Contrast,2441
2019-02-04,Denim,22610
2019-02-04,Dot,1868
2019-02-04,Embroidery,1552
2019-02-04,Front print,3277
2019-02-04,Glittering/Metallic,1505
2019-02-04,Jacquard,1341
2019-02-04,Lace,7954
2019-02-04,Melange,16510
2019-02-04,Mesh,81
2019-02-04,Metallic,402
2019-02-04,Mixed solid/pattern,1072
2019-02-04,Neps,281
2019-02-04,Other pattern,543
2019-02-04,Other structure,2800
2019-02-04,Placement print,4646
2019-02-04,Sequin,585
2019-02-04,Slub,186
2019-02-04,Solid,137584
2019-02-04,Stripe,12786
2019-02-04,Transparent,123
2019-02-04,Treatment,1104
2019-02-04,Unknown,299
2019-02-11,All over pattern,30813
2019-02-11,Application/3D,1279
2019-02-11,Argyle,5
2019-02-11,Chambray,247
2019-02-11,Check,4155
2019-02-11,Colour blocking,3087
2019-02-11,Contrast,2112
2019-02-11,Denim,21794
2019-02-11,Dot,1649
2019-02-11,Embroidery,1400
2019-02-11,Front print,3175
2019-02-11,Glittering/Metallic,1258
2019-02-11,Jacquard,1192
2019-02-11,Lace,6543
2019-02-11,Melange,13307
2019-02-11,Mesh,66
2019-02-11,Metallic,365
2019-02-11,Mixed solid/pattern,905
2019-02-11,Neps,265
2019-02-11,Other pattern,489
2019-02-11,Other structure,3401
2019-02-11,Placement print,4645
2019-02-11,Sequin,587
2019-02-11,Slub,206
2019-02-11,Solid,130492
2019-02-11,Stripe,13968
2019-02-11,Transparent,133
2019-02-11,Treatment,1134
2019-02-11,Unknown,281
2019-02-18,All over pattern,43612
2019-02-18,Application/3D,1678
2019-02-18,Argyle,7
2019-02-18,Chambray,292
2019-02-18,Check,5989
2019-02-18,Colour blocking,4025
2019-02-18,Contrast,2804
2019-02-18,Denim,24627
2019-02-18,Dot,2011
2019-02-18,Embroidery,2116
2019-02-18,Front print,4402
2019-02-18,Glittering/Metallic,1423
2019-02-18,Jacquard,1239
2019-02-18,Lace,7631
2019-02-18,Melange,17076
2019-02-18,Mesh,87
2019-02-18,Metallic,582
2019-02-18,Mixed solid/pattern,1315
2019-02-18,Neps,548
2019-02-18,Other pattern,639
2019-02-18,Other structure,4868
2019-02-18,Placement print,7519
2019-02-18,Sequin,996
2019-02-18,Slub,336
2019-02-18,Solid,182068
2019-02-18,Stripe,22571
2019-02-18,Transparent,235
2019-02-18,Treatment,1282
2019-02-18,Unknown,272
2019-02-25,All over pattern,37948
2019-02-25,Application/3D,1262
2019-02-25,Argyle,4
2019-02-25,Chambray,180
2019-02-25,Check,4691
2019-02-25,Colour blocking,2812
2019-02-25,Contrast,2041
2019-02-25,Denim,20079
2019-02-25,Dot,1689
2019-02-25,Embroidery,1956
2019-02-25,Front print,3169
2019-02-25,Glittering/Metallic,1052
2019-02-25,Jacquard,899
2019-02-25,Lace,6169
2019-02-25,Melange,13165
2019-02-25,Mesh,72
2019-02-25,Metallic,458
2019-02-25,Mixed solid/pattern,901
2019-02-25,Neps,587
2019-02-25,Other pattern,555
2019-02-25,Other structure,3655
2019-02-25,Placement print,6144
2019-02-25,Sequin,521
2019-02-25,Slub,276
2019-02-25,Solid,156454
2019-02-25,Stripe,19236
2019-02-25,Transparent,182
2019-02-25,Treatment,1038
2019-02-25,Unknown,261
2019-03-04,All over pattern,35001
2019-03-04,Application/3D,1200
2019-03-04,Argyle,8
2019-03-04,Chambray,196
2019-03-04,Check,4671
2019-03-04,Colour blocking,2578
2019-03-04,Contrast,2308
2019-03-04,Denim,19158
2019-03-04,Dot,1652
2019-03-04,Embroidery,2302
2019-03-04,Front print,2382
2019-03-04,Glittering/Metallic,1065
2019-03-04,Jacquard,1017
2019-03-04,Lace,6235
2019-03-04,Melange,14057
2019-03-04,Mesh,75
2019-03-04,Metallic,375
2019-03-04,Mixed solid/pattern,944
2019-03-04,Neps,540
2019-03-04,Other pattern,458
2019-03-04,Other structure,3832
2019-03-04,Placement print,6229
2019-03-04,Sequin,327
2019-03-04,Slub,249
2019-03-04,Solid,152214
2019-03-04,Stripe,19044
2019-03-04,Transparent,99
2019-03-04,Treatment,895
2019-03-04,Unknown,242
2019-03-11,All over pattern,37158
2019-03-11,Application/3D,1187
2019-03-11,Argyle,8
2019-03-11,Chambray,151
2019-03-11,Check,4445
2019-03-11,Colour blocking,3015
2019-03-11,Contrast,2032
2019-03-11,Denim,19352
2019-03-11,Dot,2031
2019-03-11,Embroidery,2473
2019-03-11,Front print,2179
2019-03-11,Glittering/Metallic,1026
2019-03-11,Jacquard,1164
2019-03-11,Lace,7135
2019-03-11,Melange,13539
2019-03-11,Mesh,56
2019-03-11,Metallic,378
2019-03-11,Mixed solid/pattern,909
2019-03-11,Neps,422
2019-03-11,Other pattern,448
2019-03-11,Other structure,4038
2019-03-11,Placement print,6008
2019-03-11,Sequin,262
2019-03-11,Slub,259
2019-03-11,Solid,154474
2019-03-11,Stripe,20598
2019-03-11,Transparent,138
2019-03-11,Treatment,931
2019-03-11,Unknown,189
2019-03-18,All over pattern,40350
2019-03-18,Application/3D,952
2019-03-18,Argyle,10
2019-03-18,Chambray,185
2019-03-18,Check,3913
2019-03-18,Colour blocking,2604
2019-03-18,Contrast,2213
2019-03-18,Denim,17178
2019-03-18,Dot,2405
2019-03-18,Embroidery,1818
2019-03-18,Front print,2637
