week,product_group_name,sales_count
2018-09-17,Accessories,7385
2018-09-17,Bags,1
2018-09-17,Cosmetic,21
2018-09-17,Garment Full body,11291
2018-09-17,Garment Lower body,42025
2018-09-17,Garment Upper body,80031
2018-09-17,Items,29
2018-09-17,Nightwear,1783
2018-09-17,Shoes,4126
2018-09-17,Socks & Tights,4193
2018-09-17,Swimwear,4183
2018-09-17,Underwear,10642
2018-09-17,Underwear/nightwear,18
2018-09-17,Unknown,79
2018-09-24,Accessories,24197
2018-09-24,Cosmetic,86
2018-09-24,Garment Full body,25393
2018-09-24,Garment Lower body,96048
2018-09-24,Garment Upper body,217680
2018-09-24,Interior textile,2
2018-09-24,Items,55
2018-09-24,Nightwear,4789
2018-09-24,Shoes,10228
2018-09-24,Socks & Tights,14363
2018-09-24,Swimwear,8528
2018-09-24,Underwear,27321
2018-09-24,Underwear/nightwear,29
2018-09-24,Unknown,250
2018-10-01,Accessories,13761
2018-10-01,Cosmetic,69
2018-10-01,Garment Full body,14914
2018-10-01,Garment Lower body,58648
2018-10-01,Garment Upper body,130167
2018-10-01,Interior textile,4
2018-10-01,Items,37
2018-10-01,Nightwear,2825
2018-10-01,Shoes,6682
2018-10-01,Socks & Tights,8742
2018-10-01,Swimwear,5743
2018-10-01,Underwear,16429
2018-10-01,Underwear/nightwear,20
2018-10-01,Unknown,202
2018-10-08,Accessories,18003
2018-10-08,Bags,2
2018-10-08,Cosmetic,55
2018-10-08,Garment Full body,21759
2018-10-08,Garment Lower body,77321
2018-10-08,Garment Upper body,162944
2018-10-08,Interior textile,2
2018-10-08,Items,41
2018-10-08,Nightwear,3452
2018-10-08,Shoes,8016
2018-10-08,Socks & Tights,9441
2018-10-08,Swimwear,7842
2018-10-08,Underwear,23224
2018-10-08,Underwear/nightwear,29
2018-10-08,Unknown,207
2018-10-15,Accessories,15783
2018-10-15,Bags,1
2018-10-15,Cosmetic,67
2018-10-15,Garment Full body,21353
2018-10-15,Garment Lower body,70485
2018-10-15,Garment Upper body,151734
2018-10-15,Interior textile,2
2018-10-15,Items,16
2018-10-15,Nightwear,2898
2018-10-15,Shoes,7452
2018-10-15,Socks & Tights,7679
2018-10-15,Swimwear,7269
2018-10-15,Underwear,19929
2018-10-15,Underwear/nightwear,17
2018-10-15,Unknown,224
2018-10-22,Accessories,21578
2018-10-22,Bags,6
2018-10-22,Cosmetic,77
2018-10-22,Garment Full body,24824
2018-10-22,Garment Lower body,81980
2018-10-22,Garment Upper body,188455
2018-10-22,Interior textile,6
2018-10-22,Items,47
2018-10-22,Nightwear,5047
2018-10-22,Shoes,9192
2018-10-22,Socks & Tights,11031
2018-10-22,Swimwear,7470
2018-10-22,Underwear,24657
2018-10-22,Underwear/nightwear,18
2018-10-22,Unknown,194
2018-10-29,Accessories,18333
2018-10-29,Bags,1
2018-10-29,Cosmetic,21
2018-10-29,Garment Full body,20186
2018-10-29,Garment Lower body,59144
2018-10-29,Garment Upper body,135262
2018-10-29,Interior textile,1
2018-10-29,Items,36
2018-10-29,Nightwear,4661
2018-10-29,Shoes,6786
2018-10-29,Socks & Tights,9044
2018-10-29,Swimwear,5537
2018-10-29,Underwear,17581
2018-10-29,Underwear/nightwear,14
2018-10-29,Unknown,191
2018-11-05,Accessories,14246
2018-11-05,Bags,1
2018-11-05,Cosmetic,28
2018-11-05,Garment Full body,21639
2018-11-05,Garment Lower body,52525
2018-11-05,Garment Upper body,117161
2018-11-05,Items,32
2018-11-05,Nightwear,3884
2018-11-05,Shoes,5279
2018-11-05,Socks & Tights,8197
2018-11-05,Swimwear,4392
2018-11-05,Underwear,18682
2018-11-05,Underwear/nightwear,13
2018-11-05,Unknown,122
2018-11-12,Accessories,15444
2018-11-12,Cosmetic,37
2018-11-12,Garment Full body,21405
2018-11-12,Garment Lower body,52352
2018-11-12,Garment Upper body,114506
2018-11-12,Interior textile,2
2018-11-12,Items,32
2018-11-12,Nightwear,3540
2018-11-12,Shoes,5499
2018-11-12,Socks & Tights,7304
2018-11-12,Swimwear,4054
2018-11-12,Underwear,16987
2018-11-12,Underwear/nightwear,9
2018-11-12,Unknown,122
2018-11-19,Accessories,32212
2018-11-19,Cosmetic,89
2018-11-19,Garment Full body,33068
2018-11-19,Garment Lower body,94298
2018-11-19,Garment Upper body,220251
2018-11-19,Interior textile,2
2018-11-19,Items,15
2018-11-19,Nightwear,8388
2018-11-19,Shoes,11143
2018-11-19,Socks & Tights,14374
2018-11-19,Swimwear,5958
2018-11-19,Underwear,34324
2018-11-19,Underwear/nightwear,19
2018-11-19,Unknown,178
2018-11-26,Accessories,16031
2018-11-26,Bags,13
2018-11-26,Cosmetic,48
2018-11-26,Garment Full body,20664
2018-11-26,Garment Lower body,50081
2018-11-26,Garment Upper body,110621
2018-11-26,Items,26
2018-11-26,Nightwear,4278
2018-11-26,Shoes,5455
2018-11-26,Socks & Tights,9174
2018-11-26,Swimwear,4205
2018-11-26,Underwear,18929
2018-11-26,Underwear/nightwear,9
2018-11-26,Unknown,122
2018-12-03,Accessories,17272
2018-12-03,Bags,31
2018-12-03,Cosmetic,52
2018-12-03,Garment Full body,26900
2018-12-03,Garment Lower body,48465
2018-12-03,Garment Upper body,103169
2018-12-03,Interior textile,1
2018-12-03,Items,34
2018-12-03,Nightwear,3573
2018-12-03,Shoes,5540
2018-12-03,Socks & Tights,8883
2018-12-03,Swimwear,4889
2018-12-03,Underwear,18302
2018-12-03,Underwear/nightwear,10
2018-12-03,Unknown,203
2018-12-10,Accessories,20528
2018-12-10,Bags,16
2018-12-10,Cosmetic,67
2018-12-10,Garment Full body,22024
2018-12-10,Garment Lower body,48478
2018-12-10,Garment Upper body,100033
2018-12-10,Interior textile,2
2018-12-10,Items,16
2018-12-10,Nightwear,3901
2018-12-10,Shoes,5513
2018-12-10,Socks & Tights,10300
2018-12-10,Swimwear,5540
2018-12-10,Underwear,17286
2018-12-10,Underwear/nightwear,5
2018-12-10,Unknown,187
2018-12-17,Accessories,24149
2018-12-17,Bags,22
2018-12-17,Cosmetic,106
2018-12-17,Garment Full body,28583
2018-12-17,Garment Lower body,67776
2018-12-17,Garment Upper body,150227
2018-12-17,Interior textile,1
2018-12-17,Items,35
2018-12-17,Nightwear,7743
2018-12-17,Shoes,7421
2018-12-17,Socks & Tights,13924
2018-12-17,Swimwear,6201
2018-12-17,Underwear,33367
2018-12-17,Underwear/nightwear,12
2018-12-17,Unknown,306
2018-12-24,Accessories,15468
2018-12-24,Bags,10
2018-12-24,Cosmetic,66
2018-12-24,Garment Full body,17725
2018-12-24,Garment Lower body,54265
2018-12-24,Garment Upper body,113461
2018-12-24,Items,12
2018-12-24,Nightwear,4753
2018-12-24,Shoes,5587
2018-12-24,Socks & Tights,8567
2018-12-24,Swimwear,6501
2018-12-24,Underwear,26419
2018-12-24,Underwear/nightwear,5
2018-12-24,Unknown,312
2018-12-31,Accessories,14603
2018-12-31,Bags,14
2018-12-31,Cosmetic,27
2018-12-31,Garment Full body,16983
2018-12-31,Garment Lower body,57144
2018-12-31,Garment Upper body,115675
2018-12-31,Interior textile,1
2018-12-31,Items,10
2018-12-31,Nightwear,4344
2018-12-31,Shoes,4945
2018-12-31,Socks & Tights,6645
2018-12-31,Swimwear,13528
2018-12-31,Underwear,25721
2018-12-31,Underwear/nightwear,7
2018-12-31,Unknown,363
2019-01-07,Accessories,14600
2019-01-07,Bags,18
2019-01-07,Cosmetic,27
2019-01-07,Garment Full body,20483
2019-01-07,Garment Lower body,69214
2019-01-07,Garment Upper body,139650
2019-01-07,Interior textile,1
2019-01-07,Items,17
2019-01-07,Nightwear,5482
2019-01-07,Shoes,6957
2019-01-07,Socks & Tights,5751
2019-01-07,Swimwear,25614
2019-01-07,Underwear,29066
2019-01-07,Underwear/nightwear,3
2019-01-07,Unknown,411
2019-01-14,Accessories,15023
2019-01-14,Bags,3
2019-01-14,Cosmetic,17
2019-01-14,Garment Full body,17347
2019-01-14,Garment Lower body,57736
2019-01-14,Garment Upper body,113926
2019-01-14,Interior textile,4
2019-01-14,Items,19
2019-01-14,Nightwear,3864
2019-01-14,Shoes,6505
2019-01-14,Socks & Tights,5811
2019-01-14,Swimwear,17987
2019-01-14,Underwear,23946
2019-01-14,Underwear/nightwear,6
2019-01-14,Unknown,350
2019-01-21,Accessories,19370
2019-01-21,Bags,10
2019-01-21,Cosmetic,19
2019-01-21,Garment Full body,17348
2019-01-21,Garment Lower body,63463
2019-01-21,Garment Upper body,127079
2019-01-21,Items,21
2019-01-21,Nightwear,4129
2019-01-21,Shoes,6721
2019-01-21,Socks & Tights,7025
2019-01-21,Swimwear,17240
2019-01-21,Underwear,26725
2019-01-21,Underwear/nightwear,7
2019-01-21,Unknown,302
2019-01-28,Accessories,16900
2019-01-28,Bags,6
2019-01-28,Cosmetic,16
2019-01-28,Garment Full body,19549
2019-01-28,Garment Lower body,64284
2019-01-28,Garment Upper body,126608
2019-01-28,Interior textile,2
2019-01-28,Items,16
2019-01-28,Nightwear,3749
2019-01-28,Shoes,6683
2019-01-28,Socks & Tights,6546
2019-01-28,Swimwear,17325
2019-01-28,Underwear,26739
2019-01-28,Underwear/nightwear,6
2019-01-28,Unknown,382
2019-02-04,Accessories,14734
2019-02-04,Bags,3
2019-02-04,Cosmetic,12
2019-02-04,Garment Full body,18678
2019-02-04,Garment Lower body,62815
2019-02-04,Garment Upper body,107913
2019-02-04,Interior textile,2
2019-02-04,Items,29
2019-02-04,Nightwear,3181
2019-02-04,Shoes,5365
2019-02-04,Socks & Tights,5954
2019-02-04,Swimwear,17729
2019-02-04,Underwear,24258
2019-02-04,Underwear/nightwear,4
2019-02-04,Unknown,379
2019-02-11,Accessories,14108
2019-02-11,Bags,6
2019-02-11,Cosmetic,14
2019-02-11,Garment Full body,19995
2019-02-11,Garment Lower body,61014
2019-02-11,Garment Upper body,101639
2019-02-11,Interior textile,2
2019-02-11,Items,6
2019-02-11,Nightwear,2522
2019-02-11,Shoes,5103
2019-02-11,Socks & Tights,5594
2019-02-11,Swimwear,17689
2019-02-11,Underwear,20953
2019-02-11,Underwear/nightwear,6
2019-02-11,Unknown,302
2019-02-18,Accessories,20243
2019-02-18,Bags,27
2019-02-18,Cosmetic,33
2019-02-18,Garment Full body,28149
2019-02-18,Garment Lower body,75907
2019-02-18,Garment Upper body,148359
2019-02-18,Items,16
2019-02-18,Nightwear,2975
2019-02-18,Shoes,6942
2019-02-18,Socks & Tights,8697
2019-02-18,Swimwear,22732
2019-02-18,Underwear,27708
2019-02-18,Underwear/nightwear,14
2019-02-18,Unknown,448
2019-02-25,Accessories,16878
2019-02-25,Bags,21
2019-02-25,Cosmetic,15
2019-02-25,Garment Full body,25377
2019-02-25,Garment Lower body,66090
2019-02-25,Garment Upper body,122409
2019-02-25,Interior textile,1
2019-02-25,Items,16
2019-02-25,Nightwear,2112
2019-02-25,Shoes,6280
2019-02-25,Socks & Tights,7142
2019-02-25,Swimwear,19150
2019-02-25,Underwear,21606
2019-02-25,Underwear/nightwear,5
2019-02-25,Unknown,354
2019-03-04,Accessories,13242
2019-03-04,Bags,13
2019-03-04,Cosmetic,5
2019-03-04,Garment Full body,24473
2019-03-04,Garment Lower body,63732
2019-03-04,Garment Upper body,120014
2019-03-04,Interior textile,2
2019-03-04,Items,26
2019-03-04,Nightwear,2056
2019-03-04,Shoes,7209
2019-03-04,Socks & Tights,5514
2019-03-04,Swimwear,22206
2019-03-04,Underwear,20454
2019-03-04,Underwear/nightwear,4
2019-03-04,Unknown,403
2019-03-11,Accessories,13030
2019-03-11,Bags,4
2019-03-11,Cosmetic,2
2019-03-11,Garment Full body,27588
2019-03-11,Garment Lower body,64245
2019-03-11,Garment Upper body,118930
2019-03-11,Interior textile,1
2019-03-11,Items,26
2019-03-11,Nightwear,1856
2019-03-11,Shoes,7901
2019-03-11,Socks & Tights,4775
2019-03-11,Swimwear,26931
2019-03-11,Underwear,20276
2019-03-11,Underwear/nightwear,12
2019-03-11,Unknown,428
2019-03-18,Accessories,13481
2019-03-18,Bags,12
2019-03-18,Cosmetic,2
2019-03-18,Garment Full body,27948
2019-03-18,Garment Lower body,62726
2019-03-18,Garment Upper body,111901
2019-03-18,Interior textile,2
2019-03-18,Items,18
2019-03-18,Nightwear,1786
2019-03-18,Shoes,6742
2019-03-18,Socks & Tights,5411
2019-03-18,Swimwear,26885
2019-03-18,Underwear,21509
2019-03-18,Underwear/nightwear,2
2019-03-18,Unknown,395
2019-03-25,Accessories,14665
2019-03-25,Bags,19
2019-03-25,Cosmetic,13
2019-03-25,Garment Full body,33556
2019-03-25,Garment Lower body,75584
2019-03-25,Garment Upper body,127241
2019-03-25,Interior textile,1
2019-03-25,Items,7
2019-03-25,Nightwear,2415
2019-03-25,Shoes,8230
2019-03-25,Socks & Tights,6323
2019-03-25,Swimwear,32891
2019-03-25,Underwear,22766
2019-03-25,Underwear/nightwear,9
2019-03-25,Unknown,805
2019-04-01,Accessories,16262
2019-04-01,Bags,6
2019-04-01,Cosmetic,3
2019-04-01,Garment Full body,40957
2019-04-01,Garment Lower body,82797
2019-04-01,Garment Upper body,141469
2019-04-01,Items,16
2019-04-01,Nightwear,3347
2019-04-01,Shoes,11410
2019-04-01,Socks & Tights,6720
2019-04-01,Swimwear,42719
2019-04-01,Underwear,28126
2019-04-01,Underwear/nightwear,4
2019-04-01,Unknown,776
2019-04-08,Accessories,12879
2019-04-08,Bags,10
2019-04-08,Cosmetic,2
2019-04-08,Garment Full body,35020
2019-04-08,Garment Lower body,65025
2019-04-08,Garment Upper body,106585
2019-04-08,Items,3
2019-04-08,Nightwear,2046
2019-04-08,Shoes,8224
2019-04-08,Socks & Tights,5095
2019-04-08,Swimwear,34539
2019-04-08,Underwear,18981
2019-04-08,Underwear/nightwear,3
2019-04-08,Unknown,449
2019-04-15,Accessories,13438
2019-04-15,Bags,13
2019-04-15,Cosmetic,3
2019-04-15,Garment Full body,46721
2019-04-15,Garment Lower body,74195
2019-04-15,Garment Upper body,114544
2019-04-15,Interior textile,1
2019-04-15,Items,4
2019-04-15,Nightwear,1957
2019-04-15,Shoes,9732
2019-04-15,Socks & Tights,5039
2019-04-15,Swimwear,36906
2019-04-15,Underwear,17759
2019-04-15,Underwear/nightwear,1
2019-04-15,Unknown,476
2019-04-22,Accessories,15412
2019-04-22,Bags,5
2019-04-22,Cosmetic,4
2019-04-22,Garment Full body,56426
2019-04-22,Garment Lower body,89084
2019-04-22,Garment Upper body,130641
2019-04-22,Items,35
2019-04-22,Nightwear,2720
2019-04-22,Shoes,11402
2019-04-22,Socks & Tights,5797
2019-04-22,Swimwear,46775
2019-04-22,Underwear,21696
2019-04-22,Underwear/nightwear,3
2019-04-22,Unknown,476
2019-04-29,Accessories,15529
2019-04-29,Bags,6
2019-04-29,Cosmetic,4
2019-04-29,Garment Full body,55692
2019-04-29,Garment Lower body,91830
2019-04-29,Garment Upper body,135755
2019-04-29,Interior textile,1
2019-04-29,Items,15
2019-04-29,Nightwear,2872
2019-04-29,Shoes,11520
2019-04-29,Socks & Tights,6307
2019-04-29,Swimwear,55433
2019-04-29,Underwear,28079
2019-04-29,Underwear/nightwear,3
2019-04-29,Unknown,449
2019-05-06,Accessories,12011
2019-05-06,Bags,5
2019-05-06,Cosmetic,4
2019-05-06,Garment Full body,37833
2019-05-06,Garment Lower body,63196
2019-05-06,Garment Upper body,92607
2019-05-06,Interior textile,1
2019-05-06,Items,8
2019-05-06,Nightwear,1981
2019-05-06,Shoes,7993
2019-05-06,Socks & Tights,4544
2019-05-06,Swimwear,42214
2019-05-06,Underwear,20471
2019-05-06,Underwear/nightwear,3
2019-05-06,Unknown,314
2019-05-13,Accessories,14337
2019-05-13,Bags,1
2019-05-13,Cosmetic,3
2019-05-13,Garment Full body,47524
2019-05-13,Garment Lower body,75824
2019-05-13,Garment Upper body,111972
2019-05-13,Interior textile,1
2019-05-13,Items,6
2019-05-13,Nightwear,2161
2019-05-13,Shoes,9958
2019-05-13,Socks & Tights,4990
2019-05-13,Swimwear,49952
2019-05-13,Underwear,23815
2019-05-13,Underwear/nightwear,3
2019-05-13,Unknown,369
2019-05-20,Accessories,16299
2019-05-20,Bags,1
2019-05-20,Cosmetic,5
2019-05-20,Garment Full body,48929
2019-05-20,Garment Lower body,78077
2019-05-20,Garment Upper body,122582
2019-05-20,Interior textile,1
2019-05-20,Items,9
2019-05-20,Nightwear,2351
2019-05-20,Shoes,9718
2019-05-20,Socks & Tights,6010
2019-05-20,Swimwear,45916
2019-05-20,Underwear,27027
2019-05-20,Underwear/nightwear,2
2019-05-20,Unknown,419
2019-05-27,Accessories,17306
2019-05-27,Bags,18
2019-05-27,Cosmetic,2
2019-05-27,Garment Full body,56182
2019-05-27,Garment Lower body,88744
2019-05-27,Garment Upper body,132032
2019-05-27,Items,5
2019-05-27,Nightwear,2335
2019-05-27,Shoes,11721
2019-05-27,Socks & Tights,5723
2019-05-27,Swimwear,64365
2019-05-27,Underwear,28806
2019-05-27,Underwear/nightwear,3
2019-05-27,Unknown,559
2019-06-03,Accessories,15124
2019-06-03,Bags,23
2019-06-03,Cosmetic,10
2019-06-03,Garment Full body,47408
2019-06-03,Garment Lower body,77155
2019-06-03,Garment Upper body,110632
2019-06-03,Items,12
2019-06-03,Nightwear,2243
2019-06-03,Shoes,9024
2019-06-03,Socks & Tights,4126
2019-06-03,Swimwear,44200
2019-06-03,Underwear,24670
2019-06-03,Underwear/nightwear,4
2019-06-03,Unknown,460
2019-06-10,Accessories,13051
2019-06-10,Bags,23
2019-06-10,Cosmetic,5
2019-06-10,Garment Full body,43220
2019-06-10,Garment Lower body,65023
2019-06-10,Garment Upper body,96759
2019-06-10,Interior textile,1
2019-06-10,Items,23
2019-06-10,Nightwear,2205
2019-06-10,Shoes,8486
2019-06-10,Socks & Tights,4394
2019-06-10,Swimwear,68018
2019-06-10,Underwear,25711
2019-06-10,Underwear/nightwear,2
2019-06-10,Unknown,416
2019-06-17,Accessories,18486
2019-06-17,Bags,24
2019-06-17,Cosmetic,11
2019-06-17,Garment Full body,88649
2019-06-17,Garment Lower body,130407
2019-06-17,Garment Upper body,188541
2019-06-17,Items,18
2019-06-17,Nightwear,3726
2019-06-17,Shoes,15408
2019-06-17,Socks & Tights,5256
2019-06-17,Swimwear,73224
2019-06-17,Underwear,35711
2019-06-17,Underwear/nightwear,6
2019-06-17,Unknown,609
2019-06-24,Accessories,19372
2019-06-24,Bags,15
2019-06-24,Cosmetic,6
2019-06-24,Garment Full body,91489
2019-06-24,Garment Lower body,128845
2019-06-24,Garment Upper body,173071
2019-06-24,Items,7
2019-06-24,Nightwear,3499
2019-06-24,Shoes,16284
2019-06-24,Socks & Tights,4793
2019-06-24,Swimwear,90127
2019-06-24,Underwear,34916
2019-06-24,Underwear/nightwear,2
2019-06-24,Unknown,564
2019-07-01,Accessories,17952
2019-07-01,Bags,37
2019-07-01,Cosmetic,10
2019-07-01,Garment Full body,58358
2019-07-01,Garment Lower body,94658
2019-07-01,Garment Upper body,145351
2019-07-01,Items,9
2019-07-01,Nightwear,2641
2019-07-01,Shoes,11850
2019-07-01,Socks & Tights,4603
2019-07-01,Swimwear,60808
2019-07-01,Underwear,32735
2019-07-01,Underwear/nightwear,6
2019-07-01,Unknown,508
2019-07-08,Accessories,16358
2019-07-08,Bags,44
2019-07-08,Cosmetic,11
2019-07-08,Garment Full body,45046
2019-07-08,Garment Lower body,83564
2019-07-08,Garment Upper body,133407
2019-07-08,Items,33
2019-07-08,Nightwear,2420
2019-07-08,Shoes,10007
2019-07-08,Socks & Tights,5159
2019-07-08,Swimwear,48884
2019-07-08,Underwear,29173
2019-07-08,Underwear/nightwear,13
2019-07-08,Unknown,518
2019-07-15,Accessories,15695
2019-07-15,Bags,67
2019-07-15,Cosmetic,1
2019-07-15,Garment Full body,45690
2019-07-15,Garment Lower body,83192
2019-07-15,Garment Upper body,132217
2019-07-15,Interior textile,2
2019-07-15,Items,26
2019-07-15,Nightwear,2455
2019-07-15,Shoes,9668
2019-07-15,Socks & Tights,4599
2019-07-15,Swimwear,50389
2019-07-15,Underwear,26544
2019-07-15,Underwear/nightwear,10
2019-07-15,Unknown,522
2019-07-22,Accessories,17013
2019-07-22,Bags,54
2019-07-22,Cosmetic,7
2019-07-22,Garment Full body,77060
2019-07-22,Garment Lower body,105861
2019-07-22,Garment Upper body,148271
2019-07-22,Interior textile,1
2019-07-22,Items,16
2019-07-22,Nightwear,2627
2019-07-22,Shoes,11573
2019-07-22,Socks & Tights,3760
2019-07-22,Swimwear,77402
2019-07-22,Underwear,27629
2019-07-22,Underwear/nightwear,4
2019-07-22,Unknown,588
2019-07-29,Accessories,13218
2019-07-29,Bags,77
2019-07-29,Cosmetic,5
2019-07-29,Garment Full body,46165
2019-07-29,Garment Lower body,75856
2019-07-29,Garment Upper body,114507
2019-07-29,Items,35
2019-07-29,Nightwear,2037
2019-07-29,Shoes,8453
2019-07-29,Socks & Tights,3904
2019-07-29,Swimwear,39165
2019-07-29,Underwear,25550
2019-07-29,Underwear/nightwear,5
2019-07-29,Unknown,407
2019-08-05,Accessories,12120
2019-08-05,Bags,97
2019-08-05,Cosmetic,2
2019-08-05,Garment Full body,37059
2019-08-05,Garment Lower body,69597
2019-08-05,Garment Upper body,111172
2019-08-05,Items,31
2019-08-05,Nightwear,2476
2019-08-05,Shoes,7864
2019-08-05,Socks & Tights,4167
2019-08-05,Swimwear,28445
2019-08-05,Underwear,25324
2019-08-05,Underwear/nightwear,1
2019-08-05,Unknown,437
2019-08-12,Accessories,13265
2019-08-12,Bags,168
2019-08-12,Cosmetic,4
2019-08-12,Garment Full body,37303
2019-08-12,Garment Lower body,74921
2019-08-12,Garment Upper body,131463
2019-08-12,Items,72
2019-08-12,Nightwear,2830
2019-08-12,Shoes,8616
2019-08-12,Socks & Tights,5506
2019-08-12,Swimwear,23171
2019-08-12,Underwear,27308
2019-08-12,Underwear/nightwear,3
2019-08-12,Unknown,398
2019-08-19,Accessories,13642
2019-08-19,Bags,169
2019-08-19,Cosmetic,4
2019-08-19,Garment Full body,27740
2019-08-19,Garment Lower body,64021
2019-08-19,Garment Upper body,101995
2019-08-19,Items,18
2019-08-19,Nightwear,2347
2019-08-19,Shoes,6762
2019-08-19,Socks & Tights,4047
2019-08-19,Swimwear,16371
2019-08-19,Underwear,22132
2019-08-19,Underwear/nightwear,4
2019-08-19,Unknown,436
2019-08-26,Accessories,12901
2019-08-26,Bags,72
2019-08-26,Cosmetic,4
2019-08-26,Garment Full body,25663
2019-08-26,Garment Lower body,57763
2019-08-26,Garment Upper body,91864
2019-08-26,Items,14
2019-08-26,Nightwear,2331
2019-08-26,Shoes,5636
2019-08-26,Socks & Tights,3863
2019-08-26,Swimwear,12800
2019-08-26,Underwear,20933
2019-08-26,Underwear/nightwear,3
2019-08-26,Unknown,407
2019-09-02,Accessories,12990
2019-09-02,Bags,141
2019-09-02,Cosmetic,6
2019-09-02,Garment Full body,21089
2019-09-02,Garment Lower body,63402
2019-09-02,Garment Upper body,120921
2019-09-02,Items,70
2019-09-02,Nightwear,2710
2019-09-02,Shoes,5899
2019-09-02,Socks & Tights,5669
2019-09-02,Swimwear,7466
2019-09-02,Underwear,19372
2019-09-02,Underwear/nightwear,9
2019-09-02,Unknown,339
2019-09-09,Accessories,11697
2019-09-09,Bags,149
2019-09-09,Cosmetic,5
2019-09-09,Garment Full body,20441
2019-09-09,Garment Lower body,58636
2019-09-09,Garment Upper body,119632
2019-09-09,Items,43
2019-09-09,Nightwear,2500
2019-09-09,Shoes,5248
2019-09-09,Socks & Tights,5573
2019-09-09,Swimwear,5214
2019-09-09,Underwear,17001
2019-09-09,Underwear/nightwear,1
2019-09-09,Unknown,278
2019-09-16,Accessories,11043
2019-09-16,Bags,114
2019-09-16,Cosmetic,7
2019-09-16,Furniture,4
2019-09-16,Garment Full body,22085
2019-09-16,Garment Lower body,53583
2019-09-16,Garment Upper body,113484
2019-09-16,Items,21
2019-09-16,Nightwear,2582
2019-09-16,Shoes,4441
2019-09-16,Socks & Tights,5368
2019-09-16,Swimwear,4049
2019-09-16,Underwear,15250
2019-09-16,Underwear/nightwear,1
2019-09-16,Unknown,246
2019-09-23,Accessories,20433
2019-09-23,Bags,142
2019-09-23,Cosmetic,12
2019-09-23,Furniture,11
2019-09-23,Garment Full body,33753
2019-09-23,Garment Lower body,94670
2019-09-23,Garment Upper body,214803
2019-09-23,Garment and Shoe care,10
2019-09-23,Interior textile,1
2019-09-23,Items,116
2019-09-23,Nightwear,5268
2019-09-23,Shoes,8148
2019-09-23,Socks & Tights,9867
2019-09-23,Swimwear,4730
2019-09-23,Underwear,30925
2019-09-23,Underwear/nightwear,5
2019-09-23,Unknown,530
2019-09-30,Accessories,15232
2019-09-30,Bags,105
2019-09-30,Cosmetic,21
2019-09-30,Furniture,3
2019-09-30,Garment Full body,28358
2019-09-30,Garment Lower body,70891
2019-09-30,Garment Upper body,157470
2019-09-30,Garment and Shoe care,3
2019-09-30,Items,92
2019-09-30,Nightwear,4086
2019-09-30,Shoes,6137
2019-09-30,Socks & Tights,7861
2019-09-30,Swimwear,4545
2019-09-30,Underwear,20636
2019-09-30,Underwear/nightwear,3
2019-09-30,Unknown,278
2019-10-07,Accessories,13559
